ID,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached_on_Time_y_n,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Customer_rating_1,Customer_rating_2,Customer_rating_3,Customer_rating_4,Customer_rating_5,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F,Gender_M
46,5,210,3,9,2944,1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
47,3,169,4,32,1245,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
48,5,160,2,32,1576,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
49,5,190,2,9,3753,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True
50,5,216,3,40,2146,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
51,4,183,3,37,2042,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
52,4,141,3,22,1735,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
53,4,165,3,44,1320,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
54,2,170,3,41,1128,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
55,4,203,3,12,3539,1,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
56,2,246,5,46,2437,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True
57,3,238,3,61,3096,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
58,3,193,3,29,3453,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
59,5,141,3,41,1367,1,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
60,4,150,3,17,1923,1,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False
61,3,221,3,64,2794,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False
62,3,179,3,52,1158,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
63,5,105,6,62,1292,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
64,3,177,3,61,1880,1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
65,4,261,2,49,3045,1,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
66,3,202,3,49,2881,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
67,3,109,3,15,1710,1,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False
68,3,158,3,6,1878,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
69,4,231,4,6,2512,1,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
70,3,206,3,39,2929,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
71,5,187,4,14,3849,1,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True
72,5,230,2,2,2229,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False
73,5,232,3,33,2998,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
74,4,215,3,21,3984,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False
75,6,238,6,13,2442,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
76,4,266,3,23,3775,1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
77,2,158,2,36,1788,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
78,3,113,3,43,1518,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
79,3,223,3,18,3959,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True
80,3,257,2,56,3711,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False
81,3,180,2,49,1942,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
82,2,132,3,18,1759,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
83,4,217,3,26,2875,1,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
84,5,162,3,31,1364,1,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False
85,4,197,2,40,2710,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
86,3,197,3,13,2148,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
87,4,185,2,44,2910,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
88,6,278,3,3,2974,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
89,3,229,3,49,2339,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
90,4,186,4,57,3880,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False
91,5,174,6,41,1085,1,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
92,5,286,3,18,3163,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False
93,4,175,2,7,1188,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
94,3,219,3,17,3387,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
95,4,213,4,35,2343,1,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False
96,2,235,3,57,2034,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
97,3,149,2,18,1225,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True
98,4,271,2,8,2401,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False
99,3,144,4,5,1104,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
100,4,145,2,21,1617,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
101,5,143,2,59,1837,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
102,5,227,4,53,2624,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True
103,2,213,3,29,2732,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True
104,5,144,4,37,1658,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
105,3,218,3,3,2255,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
106,4,144,3,59,1588,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
107,3,238,3,17,2624,1,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
108,4,216,3,26,2053,1,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True
109,4,238,3,55,3257,1,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False
110,4,141,3,47,1250,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True
111,3,158,2,2,1284,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
112,4,239,3,65,3679,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
113,4,175,2,25,1816,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
114,3,263,3,41,2817,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
115,3,168,2,50,1616,1,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True
116,3,176,3,36,1779,1,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True
117,4,150,4,60,1024,1,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True
118,4,265,2,31,2326,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
119,2,263,3,5,2947,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
120,5,145,3,20,1387,1,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True
121,4,183,3,33,2741,1,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
122,3,205,3,19,2167,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False
123,4,160,3,64,1714,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
124,3,252,2,48,2102,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
125,5,222,3,10,2280,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
126,3,203,2,25,3607,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
127,4,220,3,40,3516,1,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
128,3,147,4,60,1722,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
129,4,200,4,16,2060,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
130,4,224,4,21,2026,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
131,3,179,2,17,1364,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
132,3,144,3,50,1865,1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
133,5,247,3,17,3889,1,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True
134,5,280,6,51,3582,1,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False
135,3,168,2,1,1829,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
136,3,157,3,4,1889,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
137,3,189,4,51,2208,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
138,3,162,2,7,1739,1,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True
139,4,207,5,48,2399,1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True
140,5,237,2,10,3860,1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False
141,4,264,3,59,2020,1,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
142,5,149,3,51,1645,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
143,5,162,3,41,1462,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
144,2,205,4,63,2156,1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False
145,2,158,3,51,1540,1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False
146,2,248,2,46,3707,1,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True
147,3,191,3,23,3750,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
148,4,146,4,24,1844,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
149,3,135,3,56,1490,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
150,5,149,3,40,1062,1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True
151,4,220,2,7,2551,1,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False
152,5,98,5,44,1269,1,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True
153,3,97,4,32,1238,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
154,3,183,2,53,3932,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
155,3,162,3,8,1869,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
156,5,114,4,47,1443,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False
157,6,275,5,41,2491,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
158,3,203,2,39,3845,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False
159,5,205,2,65,3671,1,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
160,3,149,3,63,1946,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
161,2,112,4,56,1138,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
162,3,207,3,56,3482,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False
163,4,261,4,58,3427,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False
164,5,274,3,6,3375,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
165,3,141,2,52,1692,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
166,3,166,4,17,1498,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
167,5,141,3,34,1020,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
168,4,152,3,43,1709,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True
169,4,250,3,53,2478,1,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
170,4,161,3,28,1809,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
171,4,185,3,10,2263,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
172,4,176,4,52,1096,1,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
173,3,148,3,56,1550,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
174,3,270,3,63,2751,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
175,3,242,3,51,3935,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
176,4,150,2,3,1285,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
177,4,192,3,20,3872,1,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
178,4,116,3,54,1314,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
179,3,192,3,2,3995,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
180,5,255,4,3,3440,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True
181,4,161,7,18,1294,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False
182,4,157,3,20,1487,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True
183,3,164,10,28,1940,1,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
184,3,162,7,16,1052,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
185,3,146,2,50,1486,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
186,3,209,3,54,3001,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
187,5,134,2,55,1386,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False
188,2,222,2,5,3778,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True
189,2,139,3,27,1233,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
190,2,134,3,42,1415,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
191,2,130,3,16,1092,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
192,2,133,3,62,1596,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False
193,2,140,3,7,1411,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False
194,2,158,3,28,1968,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
195,4,270,4,46,1736,1,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
196,2,140,3,30,1030,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
197,2,135,3,15,1339,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
198,2,136,3,19,1568,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
199,2,142,3,38,7640,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False
200,2,154,3,38,7846,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
201,2,139,3,9,1471,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
202,2,160,3,43,1251,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
203,2,134,3,58,1067,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
204,5,161,5,48,1883,1,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
205,2,155,3,23,1602,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True
206,2,145,3,24,7588,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
207,2,157,3,1,1477,1,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
208,2,160,3,48,1691,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
209,2,152,3,55,1498,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
210,2,148,3,11,1502,1,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False
211,2,127,3,15,1522,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False
212,2,154,3,21,1113,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False
213,2,127,3,44,1341,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
214,2,160,3,31,7401,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
215,2,129,3,48,1219,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
216,2,158,3,40,1722,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False
217,4,185,3,3,3131,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True
218,4,176,4,63,1293,1,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
219,3,148,3,37,1523,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
220,3,270,3,60,3885,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
221,3,242,3,29,2381,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
222,4,150,2,31,1588,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
223,4,192,3,4,2061,1,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
224,4,116,3,9,1314,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False
225,3,192,3,31,3331,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
226,5,255,4,38,2771,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
227,4,161,7,63,1496,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
228,4,157,3,48,1393,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
229,3,164,10,14,1375,1,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
230,3,162,7,42,1278,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
231,3,146,2,54,1528,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
232,3,209,3,60,2240,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
233,5,134,2,53,1088,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
234,2,222,2,58,3626,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True
235,2,139,3,39,1582,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False
236,2,134,3,38,1352,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
237,2,130,3,48,1801,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
238,2,133,3,5,1268,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
239,2,140,3,23,1372,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
240,2,158,3,10,1515,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
241,4,270,4,65,1818,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True
242,2,140,3,33,1278,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
243,2,135,3,58,1734,1,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
244,2,136,3,43,1958,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
245,2,142,3,8,6064,1,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
246,2,154,3,48,7684,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
247,2,139,3,3,1788,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
248,2,160,3,50,1030,1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False
249,2,134,3,38,1530,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
250,5,161,5,54,1511,1,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
251,2,155,3,45,1639,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
252,2,145,3,5,6102,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False
253,2,157,3,58,1930,1,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True
254,2,160,3,19,1399,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False
255,2,152,3,61,1800,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
256,2,148,3,35,1349,1,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
257,2,127,3,13,1128,1,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
258,2,129,3,22,6614,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False
259,2,158,3,13,1245,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
260,2,147,3,5,1920,1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
261,2,159,3,49,1621,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
262,2,151,3,23,1930,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
263,3,294,4,52,1089,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
264,3,226,2,45,1446,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
265,5,271,5,9,1813,1,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
